Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2022-12-04T18:30:00.000Z,2095.95,2096.8,2068.85,2085.6,0,-0.11,"17,67,537"
2022-12-05T18:30:00.000Z,2081,2100,2067,2093.5,0.38,0.27,"15,30,731"
2022-12-06T18:30:00.000Z,2096.3,2144,2096.3,2124,1.46,1.34,"34,38,327"
2022-12-07T18:30:00.000Z,2120,2175,2120,2167.7,2.06,1.95,"37,43,754"
2022-12-08T18:30:00.000Z,2168,2194.35,2137.5,2154.05,-0.63,-0.74,"25,73,609"
2022-12-11T18:30:00.000Z,2148.9,2169,2134.55,2163.7,0.45,0.34,"15,36,090"
2022-12-12T18:30:00.000Z,2170,2175.7,2152.5,2172.9,0.43,0.31,"12,33,124"
2022-12-13T18:30:00.000Z,2176.95,2210,2175.05,2195.45,1.04,0.93,"15,16,631"
2022-12-14T18:30:00.000Z,2196.7,2209,2173.6,2177.55,-0.82,-0.93,"13,23,412"
2022-12-15T18:30:00.000Z,2161,2211.6,2161,2175,-0.12,-0.23,"28,22,390"
2022-12-18T18:30:00.000Z,2171,2187.45,2155.05,2184,0.41,0.3,"15,92,779"
2022-12-19T18:30:00.000Z,2179.9,2179.9,2138,2163.25,-0.95,-1.06,"17,47,181"
2022-12-20T18:30:00.000Z,2153.1,2174.95,2142.85,2146.3,-0.78,-0.9,"19,79,681"
2022-12-21T18:30:00.000Z,2144,2148.35,2096.9,2109.95,-1.69,-1.81,"19,93,744"
2022-12-22T18:30:00.000Z,2094.5,2104.15,2050.1,2062.75,-2.24,-2.35,"20,26,125"
2022-12-25T18:30:00.000Z,2052.75,2108,2051,2091.05,1.37,1.26,"11,54,610"
2022-12-26T18:30:00.000Z,2101.55,2128,2085,2124.1,1.58,1.47,"10,59,351"
2022-12-27T18:30:00.000Z,2129,2136,2113.65,2121.1,-0.14,-0.25,"11,53,883"
2022-12-28T18:30:00.000Z,2109.65,2120.55,2094.15,2110.9,-0.48,-0.59,"15,17,150"
2022-12-29T18:30:00.000Z,2115,2133,2081.1,2085.8,-1.19,-1.3,"11,89,427"
